subject,ACC_0_mean,ACC_0_std,ACC_0_min,ACC_0_max,ACC_1_mean,ACC_1_std,ACC_1_min,ACC_1_max,ACC_2_mean,ACC_2_std,ACC_2_min,ACC_2_max,ECG_0_mean,ECG_0_std,ECG_0_min,ECG_0_max,HRV_CVNN,HRV_MCVNN,HRV_Prc20NN,HRV_pNN20,HRV_MaxNN,HRV_HTI,HRV_TINN,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_HFn,HRV_LnHF,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CSI_Modified,HRV_PIP,HRV_PAS,HRV_SI,HRV_PI,HRV_C1a,HRV_SD1a,HRV_C2a,HRV_SDNNd,HRV_DFA_alpha1,HRV_MFDFA_alpha1_Width,HRV_MFDFA_alpha1_Peak,HRV_MFDFA_alpha1_Mean,HRV_MFDFA_alpha1_Max,HRV_MFDFA_alpha1_Delta,HRV_MFDFA_alpha1_Asymmetry,HRV_MFDFA_alpha1_Increment,HRV_ApEn,HRV_SampEn,HRV_ShanEn,HRV_FuzzyEn,HRV_MSEn,HRV_CMSEn,HRV_CD,HRV_HFD,HRV_KFD,HRV_LZC,EMG_0_mean,EMG_0_std,EMG_0_min,EMG_0_max,EMG_Activation_N,EDA_0_std,EDA_0_max,SCR_Peaks_N,SCR_Peaks_Amplitude_Mean,EDA_Autocorrelation,Temp_0_std,Temp_0_max,Resp_0_mean,Resp_0_std,Resp_0_min,Resp_0_max,HRV_DFA_alpha2,HRV_MFDFA_alpha2_Peak,HRV_MFDFA_alpha2_Max,HRV_MFDFA_alpha2_Delta,HRV_MFDFA_alpha2_Asymmetry,HRV_MFDFA_alpha2_Fluctuation,label
S10,0.8848055395143373,0.0067021735686228,0.8034000396728516,0.9911999702453612,0.0828006936609745,0.014364508792433,-0.0792000293731689,0.1432000398635864,-0.2054398858774276,0.0133595841944616,-0.2961999773979187,-0.1075999736785888,0.0017024699619838,0.1364539601742897,-0.6679229736328125,0.8214569091796875,0.05444122,0.05968093,451.0,9.1954023,540.0,6.21428571,62.5,0.01084787,0.031496,0.00076313,0.34442058,0.73064706,-3.45789465,0.25306743,994.81998883,3.95151606,559.11730521,0.42528736,0.04347826,46.24606154,57.8313253,0.47661225,6.18869938,0.58293845,16.79172809,1.46939984,1.66391606,1.75225096,1.79318954,-0.09642706,0.20127127,-0.47539625,0.16726152,0.60739883,0.96141117,5.66956174,0.79347228,0.82510397,0.79311079,1.70561964,1.60800702,2.25731534,0.6665114,-0.0022425853184291,0.0098382917565682,-0.0523223876953125,0.0329132080078125,0.0,0.01360966891189,0.8632659912109375,97.0,0.0035896920683789,0.5165377143643574,0.038610857,34.101654,-0.0486305236816406,3.2037911606127807,-8.2855224609375,8.47930908203125,1.437488178,2.3258119479999997,-7.08500119,-5.279454822,-0.22636289199999998,0.11238112600000001,1
S10,0.8718750471983637,0.0155726722669559,0.7927999496459961,1.0167999267578125,0.0644520516551676,0.0257889223082336,-0.0792000293731689,0.1845999956130981,-0.2640770666017419,0.059623201175296,-0.3762000203132629,-0.1075999736785888,0.0013715700422014,0.1512591580919367,-0.6679229736328125,0.8382110595703125,0.05490546,0.05676622,424.4,1.07526882,491.0,7.15384615,78.125,0.02497542,0.01433687,0.00082147,1.74204119,0.35722722,-4.24492081,0.14890614,538.92012331,6.71563966,911.75537596,0.40860215,0.08695652,45.51713037,57.64705882,0.48876525,3.54252037,0.55580505,16.19953814,1.74220212,0.79100429,1.74059615,2.12910709,-0.53132999,-1.51494551,-0.00883839,0.0470025,0.62642425,0.99751617,5.65701795,0.63882425,1.04223991,1.01479558,1.58327892,1.39272804,1.59342354,0.56250828,-0.0022728511265345,0.0094236423135822,-0.0523223876953125,0.0314483642578125,0.0,0.0138086010763747,0.881195068359375,89.0,0.0030828786389023,0.6407686174917203,0.05277512,34.196198,0.0025728861490885,3.4213024669149608,-12.84332275390625,11.72332763671875,1.320116482,1.2478399420000001,-2.248581226,-4.175798072000001,-0.075847466,0.013398262,1
S10,0.86145677423761,0.0077591915016068,0.7927999496459961,1.0167999267578125,0.0454070228111176,0.0141055371802778,-0.0702000260353088,0.1845999956130981,-0.3151262617082823,0.0176925167039456,-0.3762000203132629,-0.1394000053405761,0.0009204057965959,0.1599307713197519,-0.664947509765625,0.8719024658203125,0.03915875,0.04186165,412.2,1.03092784,476.0,5.10526316,62.5,0.03026526,0.00975289,0.00118822,3.10321045,0.23668398,-4.63019209,0.17461309,296.7650005,5.72694735,532.8146787,0.49484536,0.13636364,49.74299686,54.65116279,0.44735163,2.7164218,0.52231901,11.56577933,1.72833787,0.42101688,1.72833787,1.55279736,1.06993585,0.066,-0.91694412,0.04157559,0.6193774,0.90043536,5.2761641,0.70838426,0.80705231,0.88071335,1.48419596,1.43033756,1.66713123,0.54432271,-0.0022850984845842,0.0090432319524091,-0.042205810546875,0.0340118408203125,0.0,0.0135913717053464,0.881195068359375,95.0,0.0025931474559101,0.2433469588735558,0.05335951,34.252716,0.0775529407319568,3.25083539787788,-12.84332275390625,11.72332763671875,1.6182595039999998,1.703902506,2.405004636,0.008188519999999855,-0.40219939800000004,0.0042783100000000004,1
S10,0.8628830405785924,0.0044150021765056,0.843000054359436,0.8794000148773193,0.044193579458055,0.0074872695099092,0.024399995803833,0.1017999649047851,-0.3116833283078102,0.0119565271268502,-0.3593999743461609,-0.2706000208854675,0.00143801007952,0.1598892712273564,-0.700927734375,0.8719024658203125,0.03231415,0.02851154,405.0,0.0,445.0,4.30434783,39.0625,0.00927593,0.00709119,0.00120265,1.30809181,0.40360182,-4.94890226,0.16643383,182.78730845,6.00839377,449.36128734,0.53535354,0.18181818,46.30884599,56.17977528,0.4806366,2.16104213,0.6120149,8.38691578,1.64275529,0.27997394,1.50314107,1.64312804,1.30444197,-0.25484828,0.0,0.00714097,0.71562244,1.13433037,5.22723541,0.70164462,0.94910042,0.95158183,1.52453858,1.47720324,1.70898502,0.53570559,-0.0022974352155412,0.0090586618333771,-0.0503997802734375,0.0340118408203125,0.0,0.0134762071999472,0.8514404296875,99.0,0.003278648678537,0.193416608077011,0.03904582,34.3031,0.1039027259463355,1.961128318665721,-3.91082763671875,4.55474853515625,1.2278267479999998,1.003188372,-0.5809398700000001,-1.9371103559999998,-0.263222152,0.00660404,1
S10,0.860270797028428,0.0042333453175674,0.8445999622344971,0.8769999742507935,0.0468659090314592,0.0065339791647402,0.0254000425338745,0.0842000246047973,-0.3189324425160885,0.0114020982072015,-0.3661999702453613,-0.2753999829292297,0.0011760896955217,0.1608887622927103,-0.700927734375,0.8272247314453125,0.0301932,0.03100148,396.2,0.0,444.0,3.92307692,46.875,0.01439248,0.00896311,0.0021357,1.60574624,0.3516146,-4.71463772,0.20141455,185.14867949,4.96488461,339.71060456,0.52941176,0.17391304,48.0676316,55.91397849,0.43981481,2.28582589,0.5584237,8.24202305,1.64519806,0.82997967,1.80379864,1.77163376,0.53498859,0.28497719,-0.53875382,0.04002077,0.69440297,0.98562543,5.06853243,0.74320566,0.97736829,1.06179509,1.46869731,1.34487328,2.09440707,0.65415935,-0.0022750691005161,0.0090957573639496,-0.0503997802734375,0.03369140625,0.0,0.0134150051632068,0.8609771728515625,104.0,0.0032988759567514,0.2881368815027625,0.038803853,34.37039,0.0652583894275483,1.904876063623678,-3.91082763671875,4.19158935546875,1.573870782,2.2552663619999995,-1.4624105020000002,-1.37340204,-0.507219882,0.04092229,1
S10,0.8598799638748169,0.0115231072550013,0.8070000410079956,1.0555999279022217,0.0589613851323014,0.0214423178707515,-0.1549999713897705,0.1208000183105468,-0.3128128045130344,0.0371891729508271,-0.3730000257492065,0.0578000545501709,0.0011723752702985,0.1620421157052904,-0.6203155517578125,0.9719696044921876,0.09711707,0.04905662,395.0,12.24489796,579.0,4.66666667,62.5,0.04242798,0.01613773,0.00181344,2.62911693,0.26727324,-4.12659533,0.25464147,2525.68421394,3.92709016,882.63447925,0.41836735,0.10526316,51.29101223,57.30337079,0.18818681,6.20735451,0.67750559,24.33509105,1.58124181,1.70564799,1.92558209,1.57843824,-0.0810591,0.76553096,-0.70352608,0.18424234,0.47303122,0.44940281,5.6005866,0.55283939,0.64726084,0.84828784,1.03756539,1.30956828,1.55428263,0.53997631,-0.002291512625558,0.0092068962509559,-0.0497589111328125,0.0399627685546875,0.0,0.0134792076437541,0.8609771728515625,99.0,0.0030429629786809,0.4414721749430955,0.03804993,34.387238,0.0257288978213355,2.4063544593231274,-5.45806884765625,7.391357421875,1.18885475,0.8682875940000001,-1.6607933119999998,-3.076741888,-0.079544076,0.042661057999999995,1
S10,0.8595191829999288,0.01153810212294,0.8070000410079956,1.0555999279022217,0.071602955268962,0.0194176743441032,-0.1549999713897705,0.1208000183105468,-0.3086083090943949,0.0359971015081785,-0.3730000257492065,0.0578000545501709,0.0014680589948381,0.1617737982935253,-0.5852508544921875,0.9719696044921876,0.08574969,0.05453241,402.8,12.63157895,563.0,6.33333333,93.75,0.04304896,0.01085779,0.00052967,3.96480117,0.19945812,-4.52287282,0.26702027,2207.3038698,3.74503405,768.42197016,0.34736842,0.04545455,52.37547237,53.84615385,0.22646697,6.52043933,0.52020979,26.53003582,1.70308517,1.89228665,1.91843245,2.19950812,-1.16966736,-1.19452079,-0.35146242,0.19026546,0.5862164,0.78466229,5.88822521,0.67878713,0.70268735,0.8879847,1.34374398,1.3423325,1.67242923,0.62240737,-0.0023038504464285,0.0089300070262519,-0.0497589111328125,0.0399627685546875,0.0,0.0135059812807331,0.8670806884765625,99.0,0.0032667764060953,0.0870337654444153,0.030906884,34.4209,0.0251954214913504,2.6084622600168847,-5.45806884765625,7.391357421875,1.200296542,1.22624752,-3.9351754299999997,-4.254449074,-0.133968636,0.043751333999999996,1
S10,0.8585262159364564,0.0049041625948832,0.8329999446868896,0.9065999984741212,0.0721056044584228,0.0068920279994485,0.0374000072479248,0.1299999952316284,-0.3137800615146046,0.0109178349381475,-0.3518000245094299,-0.2405999898910522,0.0014878409249441,0.1627049408307448,-0.5656585693359375,1.0356903076171875,0.04067739,0.03574581,423.0,2.12765957,492.0,4.7,70.3125,0.04344273,0.02650434,0.00135553,1.63907991,0.37171629,-3.63044688,0.25898721,484.42941566,3.86119454,376.86242027,0.32978723,0.0,49.26136996,52.80898876,0.45611648,4.26818361,0.4875969,12.78286071,1.70710134,1.14921187,1.83425567,2.04689458,-0.19396341,-0.51672316,-0.31496979,0.08141863,0.68546148,1.52794488,5.38917529,0.89909449,1.03559039,0.91835722,1.68382329,1.42630022,2.01710435,0.83675602,-0.0022954428536551,0.0086836756843235,-0.0516815185546875,0.0320892333984375,0.0,0.0136663678749906,0.8670806884765625,89.0,0.0036737466433518,0.3335113858257443,0.032415126,34.460693,0.088895525251116,2.351720205163799,-4.571533203125,4.92706298828125,1.081700724,0.676465306,-2.3602625500000003,-3.7419462,-0.087771508,0.009436438,1
S10,0.8573695027090255,0.0053404982083968,0.8329999446868896,0.9065999984741212,0.0728496993666603,0.0071794355712154,0.0374000072479248,0.1299999952316284,-0.3169188949948265,0.0120329463049669,-0.3569999933242798,-0.2405999898910522,0.0014664459228515,0.1672893738078608,-0.5656585693359375,1.0356903076171875,0.0428216,0.0262562,413.0,2.08333333,492.0,3.31034483,31.25,0.04596595,0.0208422,0.001503,2.20542742,0.30510682,-3.8707756,0.21546141,436.48905996,4.64120231,471.43029393,0.40625,0.04166667,49.79122782,52.87356322,0.43585643,3.61218387,0.48299132,13.23400407,1.71248242,1.34968436,1.83018736,1.86476337,-0.18044472,0.20255449,-0.47438215,0.08103623,0.65481224,0.98082925,5.14352712,0.73569326,0.96341301,0.88015635,1.38084399,1.39738559,1.71577088,0.75452695,-0.0023200465611049,0.0086879413600071,-0.0516815185546875,0.0320892333984375,0.0,0.0137308766477507,0.876617431640625,90.0,0.0038620392969643,0.2644813461151532,0.027615977,34.460693,0.0549124218168712,2.2677377038298387,-4.571533203125,4.92706298828125,1.6551929740000002,2.6308390719999997,-2.5482909339999997,-2.102026694,-0.52956984,0.043758042,1
S10,0.8572155416522708,0.0090368184272719,0.8106000423431396,1.008800029754639,0.0553386078178882,0.0310050649451422,-0.1692000031471252,0.1385999917984008,-0.3237616711088589,0.0194379429696087,-0.4085999727249145,-0.1682000160217285,0.0011416822160993,0.1698154403095938,-0.6533660888671875,0.9948577880859376,0.03986491,0.03948814,397.0,0.0,440.0,4.16666667,62.5,0.00812749,0.00905274,0.00161697,0.89779282,0.48160056,-4.70468769,0.15670483,260.60533697,6.38142439,587.29073524,0.41,0.0952381,50.50084568,52.74725275,0.44897959,2.4159335,0.51932724,11.43704858,1.78104635,0.94674437,1.92096563,2.14578301,0.03781292,-0.65284811,-0.26253634,0.07326538,0.6029934,0.83556752,5.39517598,0.64394593,0.79959508,1.06095337,1.55282325,1.36550557,1.83414816,0.59794706,-0.0023351625714983,0.0089991658140975,-0.068939208984375,0.0335540771484375,0.0,0.0137664078076143,0.876617431640625,95.0,0.0035657750836803,0.5416415314753986,0.035100423,34.51126,0.0617647806803385,2.7044915650629675,-9.26971435546875,10.00518798828125,1.3908112879999999,1.0016067300000002,1.7115623880000002,-1.06802267,-0.204398796,0.004274956,1
